,RESDATE,RESCOL,BIDCITY,MONTH,PSTALP,BSTATUS,FAILMON,PO_COST,COST21,BSTATDT,COST20,TERMDATE,BIDNAME,RESTYPE_II,FAILDATE,RESTYPE1,CHCLASS1,FSL_PROG,BRCERT,CERT,BRDOCKET,COST07,COST08,COST09,L_REPDTE,FRAUD,COST03,COST04,COST05,COST06,RSSDID,COMMENTS,BIDCERT,COSTMOSTRECENTASOF,QBRASSET,URL,RESLOS,MONTHTXT,QBFASSET,QBFEQ,TXHC,QBREQ,COST00,COST01,BIDDOCK,COST02,COST18,COST19,RESCOST,ATFIN,COST14,COST15,COST16,COST17,CITY,R_UPDATE,FAILTXT,COST10,COST98,COST11,COST99,COST12,COST13,COST95,DAY,COST96,COST97,QBFDEP,CLOSCD,FIN2,RESEQ,RESTYPE,CITYST,RESDEP,RESPUT,PTRDATE,COSTMOSTRECENT,FAILDAY,INCTDT,TERMI,FAILYR,DOCKET,RESABAL,RESTYPE_OLD,BANKNO,RESPASS,SAVR,NAME,LOSSSHARE,FAILQTR,tagpal,BRDATE,BIDSTATE,CROSSS,OBA,COST,UNINSDEP,RESASSET,difal,CHCLASS,FUND,RESADJ,FIN,QBRDEP,CROSS,ID,REGION
10,6/7/1985,,,,TN,,6,1584,1529,,1529,,,,6/7/1985,IDT,SL,,,31674.0,,1529,1529,1529,3/31/1985,,1529,1529,1529,1529,508672,,,30-Nov-22,4816,na,,,4816.0,-430,,-430,1529,1529,,1529,1529,1529,1560,,1529,1529,1529,1529,KNOXVILLE,,,1529,1529,1529,1529,1529,1529,1528.5,,1528.5,1529,3649.0,,,,FAILURE,"KNOXVILLE, TN",,,,1529,,,,1985,7328,,,,,FSLIC,MAGNOLIA FS&LA,0,2,,,,,0,1529.0,,,,SL,3,,0,3649,,1007,South
11,6/11/1985,7551,RIVERTON,,WY,I,6,,10568,11/1/1993,10568,10/1/1992,FIRST WY BANK NA RIVERTO,,6/11/1985,PA,N,,,18551.0,,10568,10568,10568,3/31/1985,,10568,10568,10568,10568,89256,,26308,30-Nov-22,37937,na,11594,,37937.0,-2373,0,-2373,10568,10568,,10568,10568,10568,,,10568,10568,10568,10568,RIVERTON,1/31/2022,,10568,10568,10568,10568,10568,10568,10568.1997,,10568.19965,10568,39595.0,PANNN,2470,26.27115,FAILURE,"RIVERTON, WY",36228.47152,0,,10568,,6/11/1985,T,1985,,0,,,24932.85741,BIF,AMERICAN NATIONAL BANK OF RIVERTON,0,2,,,WY,,0,10568.0,,36732.16887,,N,1,165,2470,39595,0,1008,West
12,6/13/1985,2866,EDNA,,KS,I,6,,2827,8/1/1989,2827,1/1/1989,FIRST STATE BANK OF EDNA,,6/13/1985,PA,NM,,,4657.0,,2827,2827,2827,3/31/1985,,2827,2827,2827,2827,641159,,26277,30-Nov-22,8325,na,2452,,8325.0,120,0,120,2827,2827,,2827,2827,2827,,,2827,2827,2827,2827,EDNA,1/31/2022,,2827,2827,2827,2827,2827,2827,2826.932,,2826.932,2827,8119.0,PASAN,2471,0,FAILURE,"EDNA, KS",0,0,,2827,,6/13/1985,T,1985,,0,,,0,BIF,THE FIRST STATE BANK,0,2,,,KS,,0,2827.0,,5173.3181,,NM,1,142,2471,8119,0,1009,Midwest
13,,,,5,MO,,,,,,0,,,,5/1/1937,PO,NM,,,,,0,0,0,,,0,0,0,0,,,,,,na,,May,157.0,,,,0,0,,0,,,,,,,,,BUCKLIN,,5/1/1937,0,0,0,0,0,0,0,1,0,0,141.0,,,,FAILURE,"BUCKLIN, MO",,,,,5/1/2022,,,1937,,,PO,,,BIF,THE CITIZENS BANK,,,,,,,,,,,,NM,1,,0,,,101,Midwest
14,6/14/1985,13673,SLEEPY EYE,,MN,I,6,,8386,6/1/1990,8386,7/1/1989,FIRST SECURITY STB SLEEP,,6/14/1985,PA,NM,,,1602.0,,8386,8386,8386,3/31/1985,,8386,8386,8386,8386,303158,,5252,30-Nov-22,41598,na,10769,,41598.0,765,0,765,8386,8386,,8386,8386,8386,,,8386,8386,8386,8386,BENSON,1/31/2022,,8386,8386,8386,8386,8386,8386,8386.4409,,8386.4409,8386,38007.0,PASAN,2472,0,FAILURE,"BENSON, MN",0,0,,8386,,6/14/1985,T,1985,,0,,,0,BIF,SWIFT COUNTY BANK,0,2,,,MN,,0,8386.0,,24137.9822,,NM,1,304,2472,38007,0,1010,Midwest
15,6/14/1985,28852,DODGEVILLE,,WI,I,6,,2,8/1/1993,2,12/1/1990,M&I BANK OF DODGEVILLE,,6/14/1985,IDT,NM,,,11613.0,,2,2,2,3/31/1985,,2,2,2,2,591647,,26284,30-Nov-22,30733,na,6901,,30733.0,1941,0,1941,2,2,,2,2,2,,,2,2,2,2,DODGEVILLE,1/31/2022,,2,2,2,2,2,2,1.6587,,1.65874,2,28240.0,DTSAN,6576,0.00026,FAILURE,"DODGEVILLE, WI",29964.96683,0,,2,,6/14/1985,T,1985,,0,,,0.71626,BIF,STRONG'S BANK,0,2,,,WI,,0,2.0,,35715.11677,,NM,1,38,6576,28240,0,1011,Midwest
16,6/20/1985,2781,,,KS,I,6,,1280,7/1/1994,1280,12/1/1988,,,6/20/1985,PO,NM,,,10507.0,,1280,1280,1280,3/31/1985,,1280,1280,1280,1280,974857,,,30-Nov-22,4267,na,1153,,4267.0,25,0,25,1280,1280,,1280,1280,1280,,,1280,1280,1280,1280,DEXTER,1/31/2022,,1280,1280,1280,1280,1280,1280,1280.4164,,1280.41636,1280,4166.0,POSNN,6577,0.548,FAILURE,"DEXTER, KS",2689.85114,0,,1280,,6/20/1985,T,1985,,0,,,0,BIF,FARMERS STATE BANK OF DEXTER,0,2,,,,,0,1280.0,,3934.14241,,NM,1,0,6577,4166,0,1012,Midwest
17,6/21/1985,28051,OKLAHOMA CITY,,OK,I,6,,32615,12/1/1995,32615,6/1/1994,CITY BANK&TRUST,,6/21/1985,PA,N,,,4165.0,,32615,32615,32615,3/31/1985,,32615,32615,32615,32615,313559,,26300,30-Nov-22,97808,na,39005,,97808.0,2053,0,2053,32615,32615,,32615,32615,32615,,,32615,32615,32615,32615,OKLAHOMA CITY,1/31/2022,,32615,32615,32615,32615,32615,32615,32614.7551,,32614.75511,32615,92708.0,PANNN,2474,1924.58562,FAILURE,"OKLAHOMA CITY, OK",83208.69923,0,,32615,,6/21/1985,T,1985,,0,,,231.64994,BIF,"FIRST CITY BANK, N.A.",0,2,,,OK,,0,32615.0,,65950.89024,,N,1,388,2474,92708,0,1013,South
18,6/21/1985,2413,CEDAR RAPIDS,,IA,I,6,,810,12/1/1989,810,3/1/1989,PEOPLES BANK&TRUST CO,,6/21/1985,PA,NM,,,13153.0,,810,810,810,3/31/1985,,810,810,810,810,614742,,247,30-Nov-22,7158,na,1161,,7158.0,742,0,742,810,810,,810,810,810,,,810,810,810,810,URBANA,1/31/2022,,810,810,810,810,810,810,810.302,,810.302,810,6325.0,PASAN,2473,0,FAILURE,"URBANA, IA",0,0,,810,,6/21/1985,T,1985,,0,,,0,BIF,URBANA SAVINGS BANK,0,2,,,IA,,0,810.0,,3565.83158,,NM,1,0,2473,6325,0,1014,Midwest
19,6/21/1985,113525,,,NY,I,6,,0,11/1/1995,0,6/1/1993,HONGKONG&SHANGHAI BK COR,,6/21/1985,IDT,N,,,22452.0,,0,0,0,3/31/1985,,0,0,0,0,232212,,26012,30-Nov-22,146254,na,15774,,146254.0,8481,0,8481,0,0,,0,0,0,,,0,0,0,0,NEW YORK,1/31/2022,,0,0,0,0,0,0,0,,0,0,131418.0,DTNNN,5580,-9.37715,FAILURE,"NEW YORK, NY",149593.44736,0,,0,,6/21/1985,T,1985,,0,,,59723.96133,BIF,GOLDEN PACIFIC NATIONAL BANK,0,2,,,,,0,0.0,,178877.95719,,N,1,7616,5580,131418,0,1015,Northeast
20,5/26/1988,,SAN CARLOS,,CA,,6,395871,453308,,453308,,EUREKA FS&LA,,6/21/1985,A/A,SL,MCP-A,32586,28745.0,8494,453308,453308,453308,3/31/1985,,453308,453308,453308,453308,151573,,32586,30-Nov-22,1570628,na,,,1570628.0,-32288,,-32288,438341,453308,8494,453308,453308,453308,,1729,453308,453308,453308,453308,SAN CARLOS,,,453308,464875,453308,464875,453308,453308,464875,,464875,464875,1364360.0,,1729,,ASSISTANCE,"SAN CARLOS, CA",,,,453308,,,,1985,2268,,,,,FSLIC,EUREKA FS&LA,0,2,,6/21/1985,CA,,1,453308.0,,,,SL,3,,1729,1364360,,1016,West
21,5/2/1986,31412,BATON ROUGE,,LA,I,6,133382,156154,4/1/1997,156154,11/1/1996,HORIZON  FS&LA,,6/25/1985,ABT,SB,MCP-A,28913,28913.0,2609,156154,156154,156154,3/31/1985,,156154,156154,156154,156154,56472,,32471,30-Nov-22,278335,na,130277,,278335.0,3131,,3131,156154,156154,8299,156154,156154,156154,133746,,156154,156154,156154,156154,LAKE PROVIDENCE,1/31/2022,,156154,156154,156154,156154,156154,156154,156131.9776,,156154.4393,156154,269111.0,,7530,-2.08903,FAILURE,"LAKE PROVIDENCE, LA",0,0,,156154,,5/2/1986,T,1985,2609,0,,,0,FSLIC,"SUN BELT FEDERAL BANK, FSB",0,2,,6/25/1985,LA,,0,156154.0,,149335.5077,,SB,3,12354,7530,269111,,1017,South
22,6/20/1986,19509,BATON ROUGE,,LA,I,6,25370,73507,6/1/1996,73507,7/1/1995,HORIZON  FS&LA,,6/25/1985,ABT,SL,MCP-A,31480,31480.0,7049,73507,73507,73507,3/31/1985,,73507,73507,73507,73507,249470,,32471,30-Nov-22,118050,na,65130,,118050.0,-4152,,-4152,73507,73507,8299,73507,73507,73507,25624,,73507,73507,73507,73507,NEW ORLEANS,1/31/2022,,73507,73507,73507,73507,73507,73507,73507.2922,,73507.29225,73507,105339.0,,7536,0,FAILURE,"NEW ORLEANS, LA",0,0,,73507,,6/20/1986,T,1985,7049,0,,,0,FSLIC,NEW ORLEANS S&LA,0,2,,6/25/1985,LA,,0,73507.0,,81429.61286,,SL,3,3075,7536,105339,,1018,South
23,6/20/1986,29965,BATON ROUGE,,LA,I,6,99056,166227,3/1/1996,166227,10/1/1995,HORIZON  FS&LA,,6/25/1985,ABT,SL,MCP-A,31891,31891.0,7574,166227,166227,166227,3/31/1985,,166226,166226,166226,166226,910770,,32471,30-Nov-22,211301,na,135245,,211301.0,-15543,,-15543,166226,166226,8299,166226,166227,166227,100046,,166227,166227,166227,166227,NEW ORLEANS,1/31/2022,,166227,166226,166227,166226,166227,166227,166226.4663,,166226.4663,166226,222109.0,,7535,0,FAILURE,"NEW ORLEANS, LA",0,0,,166227,,6/20/1986,T,1985,7574,0,,,0,FSLIC,AUDUBON S&LA,0,2,,6/25/1985,LA,,0,166227.0,,145517.5854,,SL,3,19361,7535,222109,,1019,South
24,,,,5,VA,,,,,,0,,,,5/22/1937,P&A,NM,,,,,0,0,0,,,0,0,0,0,,,,,,na,,May,,,,,0,0,,0,,,,,,,,,CAPE CHARLES,,5/22/1937,0,0,0,0,0,0,0,22,0,0,844.0,,,,FAILURE,"CAPE CHARLES, VA",,,,,5/22/2022,,,1937,,,P&A,,,BIF,FARMERS & MERCHANTS TRUST BANK,,,,,,,,,,,,NM,1,,0,,,102,South
25,6/20/1986,,BATON ROUGE,,LA,,6,26153,29713,,29713,,HORIZON  FS&LA,,6/25/1985,ABT,SL,MCP-A,32015,32015.0,7736,29713,29713,29713,3/31/1985,,29713,29713,29713,29713,573876,,32471,30-Nov-22,47936,na,,,47936.0,-1515,,-1515,29713,29713,8299,29713,29713,29713,26661,,29713,29713,29713,29713,BATON ROUGE,,,29713,29713,29713,29713,29713,29713,29712.8,,29712.8,29713,46831.0,,,,FAILURE,"BATON ROUGE, LA",,,,29713,,,,1985,7736,,,,,FSLIC,COMMUNITY FS&LA,0,2,,6/25/1985,LA,,0,29713.0,,,,SL,3,,0,46831,,1020,South
26,6/20/1986,20365,BATON ROUGE,,LA,I,6,72488,89333,3/1/1996,89333,7/1/1995,HORIZON  FS&LA,,6/25/1985,ABT,SL,MCP-A,32029,32029.0,7760,89333,89333,89333,3/31/1985,,89333,89333,89333,89333,725675,,32471,30-Nov-22,141383,na,82585,,141383.0,-18464,,-18464,89333,89333,8299,89333,89333,89333,73213,,89333,89333,89333,89333,COVINGTON,1/31/2022,,89333,89333,89333,89333,89333,89333,89332.6431,,89332.6431,89333,148074.0,,7534,-32.30609,FAILURE,"COVINGTON, LA",0,0,,89333,,6/20/1986,T,1985,7760,0,,,0,FSLIC,NORTHLAKE S&LA,0,2,,6/25/1985,LA,,0,89333.0,,99307.91508,,SL,3,3147,7534,148074,,1021,South
27,6/20/1986,13055,BATON ROUGE,,LA,I,6,57841,53664,3/1/1996,53664,10/1/1995,HORIZON  FS&LA,,6/25/1985,ABT,SB,MCP-A,32098,32098.0,7850,53664,53664,53664,3/31/1985,,53664,53664,53664,53664,487375,,32471,30-Nov-22,89114,na,51413,,89114.0,336,,336,53664,53664,8299,53664,53664,53664,58300,,53664,53664,53664,53664,NEW ORLEANS,1/31/2022,,53664,53664,53664,53664,53664,53664,53663.6111,,53663.61106,53664,83950.0,,7532,-21.23806,FAILURE,"NEW ORLEANS, LA",0,0,,53664,,6/20/1986,T,1985,7850,0,,,0,FSLIC,CRESCENT SAVINGS BANK,0,2,,6/25/1985,LA,,0,53664.0,,59471.72664,,SB,3,4985,7532,83950,,1022,South
28,6/26/1985,,WESTMINSTER,,KS,,6,19568,16154,,16154,,HOUSEHOLD BANK FSB,,6/26/1985,A/A,SL,,,31940.0,,16154,16154,16154,3/31/1985,,16154,16154,16154,16154,676674,,30971,30-Nov-22,91832,na,,,91832.0,-1187,,-1187,14556,16154,6194,16154,16154,16154,,1669,16154,16154,16154,16154,SHAWNEE MSN,,,16154,16154,16154,16154,16154,16154,16154,,16154,16154,44968.0,,1669,,ASSISTANCE,"SHAWNEE MSN, KS",,,,16154,,,,1985,7628,,,,,FSLIC,CENTURY SA,0,2,,,CA,,1,16154.0,,,,SL,3,,1669,44968,,1023,Midwest
29,6/28/1985,7035,SHELBYVILLE,,TN,I,6,,2912,10/1/1991,2912,3/1/1991,FIRST NB OF SHELBYVILLE,,6/28/1985,PA,NM,,,4968.0,,2912,2912,2912,3/31/1985,,2912,2912,2912,2912,1002533,,4961,30-Nov-22,21123,na,4310,,21123.0,1133,0,1133,2912,2912,,2912,2912,2912,,,2912,2912,2912,2912,TRACY CITY,1/31/2022,,2912,2912,2912,2912,2912,2912,2912.3035,,2912.30352,2912,19718.0,PASNN,2475,0,FAILURE,"TRACY CITY, TN",0,0,,2912,,6/28/1985,T,1985,,0,,,0,BIF,FIRST BANK & TRUST,0,2,,,TN,,0,2912.0,,10882.32972,,NM,1,453,2475,19718,0,1024,South
30,7/1/1985,,BATESVILLE,,MS,,7,5232,4110,,4110,,MISSISSIPPI FSB,,7/1/1985,A/A,SL,,,31839.0,,4110,4110,4110,6/30/1985,,4110,4110,4110,4110,62370,,31839,30-Nov-22,18387,na,,,18387.0,3817,,3817,4110,4110,7522,4110,4110,4110,,,4110,4110,4110,4110,BATESVILLE,,,4110,4110,4110,4110,4110,4110,4109.7851,,4109.78508,4110,13257.0,,,,ASSISTANCE,"BATESVILLE, MS",,,,4110,,,,1985,7522,,,,,FSLIC,CITIZENS S&LA,0,3,,,MS,,1,4110.0,,,,SL,3,,0,13257,,1025,South
31,7/2/1985,1276,MADISON,,KS,I,7,,2479,6/1/1990,2479,12/1/1988,FIRST NB OF MADISON,,7/2/1985,PA,NM,,,10510.0,,2479,2479,2479,6/30/1985,,2479,2479,2479,2479,151256,,4723,30-Nov-22,8392,na,2404,,8392.0,494,0,494,2479,2479,,2479,2479,2479,,,2479,2479,2479,2479,MADISON,1/31/2022,,2479,2479,2479,2479,2479,2479,2479.025,,2479.025,2479,7739.0,PASAN,2476,0,FAILURE,"MADISON, KS",0,0,,2479,,7/2/1985,T,1985,,0,,,0,BIF,MADISON BANK,0,3,,,KS,,0,2479.0,,3679.7011,,NM,1,0,2476,7739,0,1026,Midwest
32,7/5/1985,3935,JACKSONVILLE,,AL,I,7,,9086,8/1/1993,9086,11/1/1990,AMSOUTH BANK OF JACKSONV,,7/5/1985,PA,N,,,14837.0,,9086,9086,9086,6/30/1985,,9086,9086,9086,9086,89630,,26292,30-Nov-22,43290,na,73709,,43290.0,3334,0,3334,9086,9086,,9086,9086,9086,,,9086,9086,9086,9086,JACKSONVILLE,1/31/2022,,9086,9086,9086,9086,9086,9086,9085.7489,,9085.74889,9086,39643.0,PANNN,2477,-68063.98137,FAILURE,"JACKSONVILLE, AL",40110.3068,0,,9086,,7/5/1985,T,1985,,0,,,30902.04142,BIF,THE FIRST NATIONAL BANK OF JACKSONVILLE,0,3,,,AL,,0,9086.0,,106878.51806,,N,1,1437,2477,39643,0,1027,South
33,7/11/1985,9616,,,OK,I,7,,6920,5/1/1992,6920,4/1/1990,,,7/11/1985,PO,NM,,,22163.0,,6920,6920,6920,3/31/1985,,6920,6920,6920,6920,32953,,,30-Nov-22,17776,na,7258,,17776.0,556,0,556,6920,6920,,6920,6920,6920,,,6920,6920,6920,6920,OKLAHOMA CITY,1/31/2022,,6920,6920,6920,6920,6920,6920,6919.5074,,6919.50741,6920,17101.0,POSNN,6584,79.70127,FAILURE,"OKLAHOMA CITY, OK",16356.83728,0,,6920,,7/11/1985,T,1985,,0,,,0,BIF,CROSSROADS STATE BANK,0,3,,,,,0,6920.0,,16569.25563,,NM,1,219,6584,17101,0,1028,South
34,7/18/1985,6869,,,TX,I,7,,4130,3/1/1996,4130,3/1/1995,,,7/18/1985,PO,N,,,3166.0,,4130,4130,4130,3/31/1985,,4130,4130,4130,4130,613259,,,30-Nov-22,18213,na,4865,,18213.0,851,0,851,4130,4130,,4130,4130,4130,,,4130,4130,4130,4130,DARROUZETT,1/31/2022,,4130,4130,4130,4130,4130,4130,4129.606,,4799.35249,4130,11388.0,PONAN,5586,10909.26114,FAILURE,"DARROUZETT, TX",11183.30637,0,,4130,,7/18/1985,T,1985,,0,,,0,BIF,THE FIRST NATIONAL BANK OF DAROUZZET,0,3,,,,,0,4130.0,,11295.89012,,N,1,388,5586,11388,0,1029,South
35,,,,5,IL,,,,,,0,,,,5/27/1937,P&A,N,,,,,0,0,0,,,0,0,0,0,,,,,,na,,May,,,,,0,0,,0,,,,,,,,,GRAYVILLE,,5/27/1937,0,0,0,0,0,0,0,27,0,0,258.0,,,,FAILURE,"GRAYVILLE, IL",,,,,5/27/2022,,,1937,,,P&A,,,BIF,THE FARMERS NATIONAL BANK OF GRAYVILLE,,,,,,,,,,,,N,1,,0,,,103,Midwest
36,7/18/1985,1512,ESKRIDGE,,KS,I,7,,5324,12/31/1992,5324,3/1/1989,FLINT HILLS BANK OF ESKR,,7/18/1985,PA,NM,,,17962.0,,5324,5324,5324,3/31/1985,,5324,5324,5324,5324,838454,,26340,30-Nov-22,10137,na,6017,,10137.0,587,0,587,5324,5324,,5324,5324,5324,,,5324,5324,5324,5324,ESKRIDGE,1/31/2022,,5324,5324,5324,5324,5324,5324,5323.8662,,5323.8662,5324,9435.0,PASAN,2478,0,FAILURE,"ESKRIDGE, KS",0,0,,5324,,7/18/1985,T,1985,,0,,,0,BIF,ESKRIDGE STATE BANK,0,3,,,KS,,0,5324.0,,7381.17687,,NM,1,148,2478,9435,0,1030,Midwest
37,9/12/1986,202009,BOYNTON BEACH,,FL,I,7,655189,419225,10/1/1999,419225,5/1/1999,BEACH FS&LA,,7/18/1985,ABT,SL,MCP-C/MCP-D,32434,32016.0,8259,419225,419225,419225,6/30/1985,,419225,419225,419225,419225,349576,,32492,30-Nov-22,1516512,na,740459,,1516512.0,-5521,,-5521,419225,419225,8329,419225,419225,419225,680892,,419225,419225,419225,419225,LAKE WORTH,1/31/2022,,419225,419225,419225,419225,419225,419225,413987.8078,,414339.5238,418083,1498748.0,,7543,-686.09105,FAILURE,"LAKE WORTH, FL",0,0,,419225,,9/12/1986,T,1985,7737,0,,,0,FSLIC,"SUNRISE, S&LA",0,3,,7/18/1985,FL,,0,419225.0,,846840.43689,,SL,3,94359,7543,1498748,,1031,South
